#Posizione iniziale-->2
#Velocita' iniziale-->1
#Costante elastica-->6
#Massa oscillante-->2
#Tempo massimo di integrazione-->100
#Pulsazione al quadrato-->3
#Primo passo di tempo su cui si integra-->0.01
#E' stato utilizzato l'algoritmo di Eulero
#Legenda
#1:t 2:x 3:v 4:dE/Eo 5:E
1.7 -1.89565 -1.70283 0.0523148 13.6801
1.71 -1.91268 -1.64596 0.0526305 13.6842
1.72 -1.92914 -1.58858 0.0529463 13.6883
1.73 -1.94502 -1.53071 0.0532622 13.6924
1.74 -1.96033 -1.47236 0.0535782 13.6965
1.75 -1.97505 -1.41355 0.0538943 13.7006
1.76 -1.98919 -1.35429 0.0542104 13.7047
1.77 -2.00273 -1.29462 0.0545267 13.7088
1.78 -2.01568 -1.23454 0.0548431 13.713
1.79 -2.02802 -1.17407 0.0551595 13.7171
1.8 -2.03976 -1.11323 0.0554761 13.7212
1.81 -2.0509 -1.05203 0.0557927 13.7253
1.82 -2.06142 -0.990505 0.0561094 13.7294
1.83 -2.07132 -0.928663 0.0564263 13.7335
1.84 -2.08061 -0.866523 0.0567432 13.7377
1.85 -2.08927 -0.804105 0.0570602 13.7418
1.86 -2.09732 -0.741427 0.0573773 13.7459
1.87 -2.10473 -0.678507 0.0576946 13.75
1.88 -2.11151 -0.615365 0.0580119 13.7542
1.89 -2.11767 -0.55202 0.0583293 13.7583
1.9 -2.12319 -0.48849 0.0586468 13.7624
1.91 -2.12807 -0.424794 0.0589644 13.7665
1.92 -2.13232 -0.360952 0.059282 13.7707
1.93 -2.13593 -0.296982 0.0595998 13.7748
1.94 -2.1389 -0.232905 0.0599177 13.7789
1.95 -2.14123 -0.168738 0.0602357 13.7831
1.96 -2.14292 -0.104501 0.0605538 13.7872
1.97 -2.14396 -0.0402131 0.0608719 13.7913
1.98 -2.14436 0.0241057 0.0611902 13.7955
1.99 -2.14412 0.0884367 0.0615085 13.7996
2 -2.14324 0.15276 0.061827 13.8038
2.01 -2.14171 0.217058 0.0621455 13.8079
2.02 -2.13954 0.281309 0.0624642 13.812
2.03 -2.13673 0.345495 0.0627829 13.8162
2.04 -2.13327 0.409597 0.0631018 13.8203
2.05 -2.12918 0.473595 0.0634207 13.8245
2.06 -2.12444 0.53747 0.0637397 13.8286
2.07 -2.11907 0.601204 0.0640588 13.8328
2.08 -2.11305 0.664776 0.0643781 13.8369
2.09 -2.10641 0.728167 0.0646974 13.8411
2.1 -2.09912 0.791359 0.0650168 13.8452
2.11 -2.09121 0.854333 0.0653363 13.8494
2.12 -2.08267 0.917069 0.0656559 13.8535
2.13 -2.0735 0.979549 0.0659756 13.8577
2.14 -2.0637 1.04175 0.0662954 13.8618
2.15 -2.05328 1.10367 0.0666153 13.866
2.16 -2.04225 1.16526 0.0669352 13.8702
2.17 -2.03059 1.22653 0.0672553 13.8743
2.18 -2.01833 1.28745 0.0675755 13.8785
2.19 -2.00545 1.348 0.0678958 13.8826
2.2 -1.99197 1.40816 0.0682161 13.8868
2.21 -1.97789 1.46792 0.0685366 13.891
2.22 -1.96321 1.52726 0.0688572 13.8951
2.23 -1.94794 1.58616 0.0691778 13.8993
2.24 -1.93208 1.64459 0.0694986 13.9035
2.25 -1.91563 1.70256 0.0698194 13.9077
2.26 -1.89861 1.76002 0.0701404 13.9118
2.27 -1.88101 1.81698 0.0704614 13.916
2.28 -1.86284 1.87341 0.0707826 13.9202
2.29 -1.8441 1.9293 0.0711038 13.9243
2.3 -1.82481 1.98462 0.0714251 13.9285
2.31 -1.80496 2.03937 0.0717465 13.9327
2.32 -1.78457 2.09351 0.0720681 13.9369
2.33 -1.76364 2.14705 0.0723897 13.9411
2.34 -1.74217 2.19996 0.0727114 13.9452
2.35 -1.72017 2.25223 0.0730332 13.9494
2.36 -1.69764 2.30383 0.0733551 13.9536
2.37 -1.67461 2.35476 0.0736771 13.9578
2.38 -1.65106 2.405 0.0739992 13.962
2.39 -1.62701 2.45453 0.0743214 13.9662
2.4 -1.60246 2.50334 0.0746437 13.9704
2.41 -1.57743 2.55141 0.0749661 13.9746
2.42 -1.55191 2.59874 0.0752886 13.9788
2.43 -1.52593 2.64529 0.0756112 13.9829
2.44 -1.49947 2.69107 0.0759339 13.9871
2.45 -1.47256 2.73606 0.0762567 13.9913
2.46 -1.4452 2.78023 0.0765796 13.9955
2.47 -1.4174 2.82359 0.0769025 13.9997
2.48 -1.38916 2.86611 0.0772256 14.0039
2.49 -1.3605 2.90779 0.0775488 14.0081
2.5 -1.33143 2.9486 0.077872 14.0123
2.51 -1.30194 2.98854 0.0781954 14.0165
2.52 -1.27205 3.0276 0.0785188 14.0207
2.53 -1.24178 3.06576 0.0788424 14.025
2.54 -1.21112 3.10302 0.0791661 14.0292
2.55 -1.18009 3.13935 0.0794898 14.0334
2.56 -1.1487 3.17475 0.0798137 14.0376
2.57 -1.11695 3.20921 0.0801376 14.0418
2.58 -1.08486 3.24272 0.0804616 14.046
2.59 -1.05243 3.27527 0.0807858 14.0502
2.6 -1.01968 3.30684 0.08111 14.0544
2.61 -0.986609 3.33743 0.0814343 14.0586
2.62 -0.953235 3.36703 0.0817588 14.0629
2.63 -0.919564 3.39563 0.0820833 14.0671
2.64 -0.885608 3.42321 0.0824079 14.0713
2.65 -0.851376 3.44978 0.0827327 14.0755
2.66 -0.816878 3.47532 0.0830575 14.0797
2.67 -0.782125 3.49983 0.0833824 14.084
2.68 -0.747127 3.52329 0.0837074 14.0882
2.69 -0.711894 3.54571 0.0840325 14.0924
2.7 -0.676437 3.56706 0.0843577 14.0967
2.71 -0.640766 3.58736 0.084683 14.1009
2.72 -0.604892 3.60658 0.0850084 14.1051
2.73 -0.568827 3.62473 0.0853339 14.1093
2.74 -0.532579 3.64179 0.0856595 14.1136
2.75 -0.496161 3.65777 0.0859852 14.1178
2.76 -0.459584 3.67265 0.086311 14.122
2.77 -0.422857 3.68644 0.0866369 14.1263
2.78 -0.385993 3.69913 0.0869629 14.1305
2.79 -0.349002 3.71071 0.087289 14.1348
2.8 -0.311894 3.72118 0.0876152 14.139
2.81 -0.274683 3.73053 0.0879415 14.1432
2.82 -0.237377 3.73877 0.0882679 14.1475
2.83 -0.19999 3.7459 0.0885943 14.1517
2.84 -0.162531 3.7519 0.0889209 14.156
2.85 -0.125012 3.75677 0.0892476 14.1602
2.86 -0.0874439 3.76052 0.0895744 14.1645
2.87 -0.0498387 3.76315 0.0899012 14.1687
2.88 -0.0122072 3.76464 0.0902282 14.173
2.89 0.0254392 3.76501 0.0905553 14.1772
2.9 0.0630892 3.76424 0.0908824 14.1815
2.91 0.100732 3.76235 0.0912097 14.1857
2.92 0.138355 3.75933 0.0915371 14.19
2.93 0.175948 3.75518 0.0918645 14.1942
2.94 0.2135 3.7499 0.0921921 14.1985
2.95 0.250999 3.7435 0.0925198 14.2028
2.96 0.288434 3.73597 0.0928475 14.207
2.97 0.325794 3.72731 0.0931754 14.2113
2.98 0.363067 3.71754 0.0935033 14.2155
2.99 0.400242 3.70665 0.0938314 14.2198
3 0.437309 3.69464 0.0941595 14.2241
3.01 0.474255 3.68152 0.0944878 14.2283
3.02 0.51107 3.66729 0.0948161 14.2326
3.03 0.547743 3.65196 0.0951446 14.2369
3.04 0.584263 3.63553 0.0954731 14.2412
3.05 0.620618 3.618 0.0958017 14.2454
3.06 0.656798 3.59938 0.0961305 14.2497
3.07 0.692792 3.57968 0.0964593 14.254
3.08 0.728589 3.55889 0.0967883 14.2582
3.09 0.764178 3.53704 0.0971173 14.2625
3.1 0.799548 3.51411 0.0974464 14.2668
3.11 0.834689 3.49012 0.0977757 14.2711
3.12 0.86959 3.46508 0.098105 14.2754
3.13 0.904241 3.439 0.0984344 14.2796
3.14 0.938631 3.41187 0.098764 14.2839
3.15 0.97275 3.38371 0.0990936 14.2882
3.16 1.00659 3.35453 0.0994233 14.2925
3.17 1.04013 3.32433 0.0997531 14.2968
3.18 1.07338 3.29313 0.100083 14.3011
3.19 1.10631 3.26092 0.100413 14.3054
3.2 1.13892 3.22773 0.100743 14.3097
3.21 1.17119 3.19357 0.101073 14.314
3.22 1.20313 3.15843 0.101404 14.3182
3.23 1.23471 3.12234 0.101734 14.3225
3.24 1.26594 3.0853 0.102065 14.3268
3.25 1.29679 3.04732 0.102395 14.3311
3.26 1.32726 3.00841 0.102726 14.3354
3.27 1.35735 2.9686 0.103057 14.3397
3.28 1.38703 2.92788 0.103388 14.344
3.29 1.41631 2.88627 0.103719 14.3483
3.3 1.44517 2.84378 0.10405 14.3526
3.31 1.47361 2.80042 0.104381 14.357
3.32 1.50162 2.75621 0.104712 14.3613
3.33 1.52918 2.71116 0.105044 14.3656
3.34 1.55629 2.66529 0.105375 14.3699
3.35 1.58294 2.6186 0.105707 14.3742
3.36 1.60913 2.57111 0.106039 14.3785
3.37 1.63484 2.52284 0.106371 14.3828
3.38 1.66007 2.47379 0.106702 14.3871
3.39 1.68481 2.42399 0.107034 14.3914
3.4 1.70905 2.37345 0.107367 14.3958
3.41 1.73278 2.32217 0.107699 14.4001
3.42 1.756 2.27019 0.108031 14.4044
3.43 1.7787 2.21751 0.108363 14.4087
3.44 1.80088 2.16415 0.108696 14.413
3.45 1.82252 2.11012 0.109029 14.4174
3.46 1.84362 2.05545 0.109361 14.4217
3.47 1.86418 2.00014 0.109694 14.426
3.48 1.88418 1.94421 0.110027 14.4304
3.49 1.90362 1.88769 0.11036 14.4347
3.5 1.9225 1.83058 0.110693 14.439
3.51 1.9408 1.77291 0.111026 14.4433
3.52 1.95853 1.71468 0.11136 14.4477
3.53 1.97568 1.65593 0.111693 14.452
3.54 1.99224 1.59665 0.112027 14.4563
3.55 2.0082 1.53689 0.11236 14.4607
3.56 2.02357 1.47664 0.112694 14.465
3.57 2.03834 1.41593 0.113028 14.4694
3.58 2.0525 1.35478 0.113362 14.4737
3.59 2.06605 1.29321 0.113696 14.478
3.6 2.07898 1.23123 0.11403 14.4824
3.61 2.09129 1.16886 0.114364 14.4867
3.62 2.10298 1.10612 0.114698 14.4911
3.63 2.11404 1.04303 0.115033 14.4954
3.64 2.12447 0.979609 0.115367 14.4998
3.65 2.13427 0.915875 0.115702 14.5041
3.66 2.14343 0.851847 0.116036 14.5085
3.67 2.15194 0.787544 0.116371 14.5128
3.68 2.15982 0.722986 0.116706 14.5172
3.69 2.16705 0.658191 0.117041 14.5215
3.7 2.17363 0.59318 0.117376 14.5259
3.71 2.17956 0.527971 0.117712 14.5302
3.72 2.18484 0.462584 0.118047 14.5346
3.73 2.18947 0.397038 0.118382 14.539
3.74 2.19344 0.331354 0.118718 14.5433
3.75 2.19675 0.265551 0.119053 14.5477
3.76 2.19941 0.199648 0.119389 14.5521
3.77 2.20141 0.133666 0.119725 14.5564
3.78 2.20274 0.067624 0.120061 14.5608
3.79 2.20342 0.00154175 0.120397 14.5652
3.8 2.20343 -0.0645608 0.120733 14.5695
3.81 2.20279 -0.130664 0.121069 14.5739
3.82 2.20148 -0.196747 0.121406 14.5783
3.83 2.19951 -0.262792 0.121742 14.5826
3.84 2.19689 -0.328777 0.122078 14.587
3.85 2.1936 -0.394684 0.122415 14.5914
3.86 2.18965 -0.460492 0.122752 14.5958
3.87 2.18505 -0.526181 0.123089 14.6002
3.88 2.17978 -0.591733 0.123426 14.6045
3.89 2.17387 -0.657126 0.123763 14.6089
3.9 2.1673 -0.722342 0.1241 14.6133
3.91 2.16007 -0.787361 0.124437 14.6177
3.92 2.1522 -0.852163 0.124774 14.6221
3.93 2.14368 -0.916729 0.125112 14.6265
3.94 2.13451 -0.98104 0.125449 14.6308
3.95 2.1247 -1.04508 0.125787 14.6352
3.96 2.11425 -1.10882 0.126125 14.6396
3.97 2.10316 -1.17224 0.126462 14.644
3.98 2.09144 -1.23534 0.1268 14.6484
3.99 2.07909 -1.29808 0.127138 14.6528
4 2.0661 -1.36045 0.127477 14.6572
4.01 2.0525 -1.42244 0.127815 14.6616
4.02 2.03828 -1.48401 0.128153 14.666
4.03 2.02344 -1.54516 0.128492 14.6704
4.04 2.00798 -1.60586 0.12883 14.6748
4.05 1.99192 -1.6661 0.129169 14.6792
4.06 1.97526 -1.72586 0.129508 14.6836
4.07 1.95801 -1.78512 0.129846 14.688
4.08 1.94015 -1.84386 0.130185 14.6924
4.09 1.92172 -1.90206 0.130524 14.6968
4.1 1.90269 -1.95971 0.130864 14.7012
